mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	1/2	3/4	2	2	1/4	1/4	1		0	60	C4	4	3
1	1	0	0	1.0	0	1/2	3/4	2	1	1/4	1/4	1		4	64	E4	4	2
1	1	0	0	1.0	0	1/2	3/4	1	2	1/4	1/4	1		1	67	G4	4	1
1	1	0	0	1.0	0	1/2	3/4	1	1	1/4	1/4	1		0	72	C5	5	0
2	2	1	1	2.0	0	0	3/4	2	2	1/2	1/2	1		3	57	A3	3	11
2	2	1	1	1.0	0	0	3/4	2	1	1/4	1/4	1		4	64	E4	4	8
2	2	1	1	2.0	0	0	3/4	1	2	1/2	1/2	1		3	69	A4	4	6
2	2	1	1	2.0	0	0	3/4	1	1	1/2	1/2	1		0	72	C5	5	4
2	2	2	2	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		-1	65	F4	4	9
2	2	3	3	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		4	52	E3	3	12
2	2	3	3	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		1	67	G4	4	7
2	2	3	3	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		1	67	G4	4	10
2	2	3	3	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		5	71	B4	4	5
3	3	4	4	2.0	0	0	3/4	2	2	1/2	1/2	1		-1	53	F3	3	21
3	3	4	4	1.0	0	0	3/4	1	2	1/4	1/4	1		0	60	C4	4	15
3	3	4	4	2.0	0	0	3/4	2	1	1/2	1/2	1		-1	65	F4	4	19
3	3	4	4	2.0	0	0	3/4	1	1	1/2	1/2	1		3	69	A4	4	13
3	3	5	5	1.0	1/4	1/4	3/4	1	2	1/4	1/4	1		2	62	D4	4	16
3	3	6	6	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		0	48	C3	3	22
3	3	6	6	0.5	1/2	1/2	3/4	1	2	1/8	1/8	1		4	64	E4	4	17
3	3	6	6	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		4	64	E4	4	20
3	3	6	6	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		1	67	G4	4	14
3	3	13/2	13/2	0.5	5/8	5/8	3/4	1	2	1/8	1/8	1		-1	65	F4	4	18
4	4	7	7	1.0	0	0	3/4	2	2	1/4	1/4	1		4	52	E3	3	30
4	4	7	7	2.0	0	0	3/4	2	1	1/2	1/2	1		0	60	C4	4	28
4	4	7	7	1.0	0	0	3/4	1	2	1/4	1/4	1		1	67	G4	4	25
4	4	7	7	1.0	0	0	3/4	1	1	1/4	1/4	1		0	72	C5	5	23
4	4	8	8	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		-1	53	F3	3	31
4	4	8	8	1.0	1/4	1/4	3/4	1	2	1/4	1/4	1		3	69	A4	4	26
4	4	8	8	2.0	1/4	1/4	3/4	1	1	1/2	1/2	1		2	74	D5	5	24
4	4	9	9	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		1	55	G3	3	32
4	4	9	9	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		5	59	B3	3	29
4	4	9	9	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		1	67	G4	4	27
5	5	10	10	2.0	0	0	3/4	2	2	1/2	1/2	1		0	48	C3	3	39
5	5	10	10	2.0	0	0	3/4	2	1	1/2	1/2	1		0	60	C4	4	37
5	5	10	10	2.0	0	0	3/4	1	2	1/2	1/2	1		1	67	G4	4	35
5	5	10	10	2.0	0	0	3/4	1	1	1/2	1/2	1		4	76	E5	5	33
5	5	12	12	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		0	60	C4	4	38
5	5	12	12	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		0	60	C4	4	40
