mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	1.0	0	1/2	3/4	2	2	1/4		1/4	1		3	57	A3	3	3
1	1	0	1.0	0	1/2	3/4	2	1	1/4		1/4	1		7	61	C#4	4	2
1	1	0	1.0	0	1/2	3/4	1	2	1/4		1/4	1		4	64	E4	4	1
1	1	0	1.0	0	1/2	3/4	1	1	1/4		1/4	1		3	69	A4	4	0
2	2	1	2.0	0	0	3/4	2	2	1/2		1/2	1		6	54	F#3	3	10
2	2	1	2.0	0	0	3/4	2	1	1/2		1/2	1		7	61	C#4	4	8
2	2	1	2.0	0	0	3/4	1	2	1/2		1/2	1		6	66	F#4	4	6
2	2	1	2.0	0	0	3/4	1	1	1/2		1/2	1		3	69	A4	4	4
2	2	3	1.0	1/2	1/2	3/4	2	2	1/4		1/4	1		7	49	C#3	3	11
2	2	3	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		7	61	C#4	4	9
2	2	3	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1		4	64	E4	4	7
2	2	3	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		8	68	G#4	4	5
3	3	4	2.0	0	0	3/4	2	2	1/2		1/2	1		2	50	D3	3	19
3	3	4	2.0	0	0	3/4	2	1	1/2		1/2	1		3	57	A3	3	17
3	3	4	1.0	0	0	3/4	1	2	1/4		1/4	1		2	62	D4	4	14
3	3	4	2.0	0	0	3/4	1	1	1/2		1/2	1		6	66	F#4	4	12
3	3	5	1.0	1/4	1/4	3/4	1	2	1/4		1/4	1		7	61	C#4	4	15
3	3	6	1.0	1/2	1/2	3/4	2	2	1/4		1/4	1		2	50	D3	3	20
3	3	6	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		8	56	G#3	3	18
3	3	6	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1		5	59	B3	3	16
3	3	6	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		4	64	E4	4	13
4	4	7	1.0	0	0	3/4	2	2	1/4		1/4	1		7	49	C#3	3	28
4	4	7	2.0	0	0	3/4	2	1	1/2		1/2	1		3	57	A3	3	26
4	4	7	1.0	0	0	3/4	1	2	1/4		1/4	1		4	64	E4	4	23
4	4	7	1.0	0	0	3/4	1	1	1/4		1/4	1		3	69	A4	4	21
4	4	8	1.0	1/4	1/4	3/4	2	2	1/4		1/4	1		2	50	D3	3	29
4	4	8	1.0	1/4	1/4	3/4	1	2	1/4		1/4	1		6	66	F#4	4	24
4	4	8	2.0	1/4	1/4	3/4	1	1	1/2		1/2	1		5	71	B4	4	22
4	4	9	1.0	1/2	1/2	3/4	2	2	1/4		1/4	1		4	52	E3	3	30
4	4	9	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		8	56	G#3	3	27
4	4	9	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1		4	64	E4	4	25
5	5	10	2.0	0	0	3/4	2	2	1/2		1/2	1		3	45	A2	2	38
5	5	10	2.0	0	0	3/4	2	1	1/2		1/2	1		3	57	A3	3	36
5	5	10	2.0	0	0	3/4	1	2	1/2		1/2	1		4	64	E4	4	33
5	5	10	2.0	0	0	3/4	1	1	1/2		1/2	1		7	73	C#5	5	31
5	5	12	1.0	1/2	1/2	3/4	2	2	1/4		1/4	1		3	57	A3	3	39
5	5	12	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		7	61	C#4	4	37
5	5	12	0.5	1/2	1/2	3/4	1	2	1/8		1/8	1		4	64	E4	4	34
5	5	12	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		7	73	C#5	5	32
5	5	25/2	0.5	5/8	5/8	3/4	1	2	1/8		1/8	1		6	66	F#4	4	35
6	6	13	2.0	0	0	3/4	2	2	1/2		1/2	1		11	53	E#3	3	47
6	6	13	2.0	0	0	3/4	2	1	1/2		1/2	1		7	61	C#4	4	45
6	6	13	2.0	0	0	3/4	1	2	1/2		1/2	1		8	68	G#4	4	43
6	6	13	1.0	0	0	3/4	1	1	1/4		1/4	1		7	73	C#5	5	40
6	6	14	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		5	71	B4	4	41
6	6	15	1.0	1/2	1/2	3/4	2	2	1/4		1/4	1		7	49	C#3	3	48
6	6	15	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		5	59	B3	3	46
6	6	15	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1		11	65	E#4	4	44
6	6	15	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		7	73	C#5	5	42
7	7	16	1.0	0	0	3/4	2	2	1/4		1/4	1		6	54	F#3	3	55
7	7	16	2.0	0	0	3/4	2	1	1/2		1/2	1		3	57	A3	3	53
7	7	16	2.0	0	0	3/4	1	2	1/2		1/2	1		6	66	F#4	4	51
7	7	16	2.0	0	0	3/4	1	1	1/2		1/2	1		7	73	C#5	5	49
7	7	17	1.0	1/4	1/4	3/4	2	2	1/4		1/4	1		4	52	E3	3	56
7	7	18	1.0	1/2	1/2	3/4	2	2	1/4		1/4	1		2	50	D3	3	57
7	7	18	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		4	64	E4	4	54
