mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	3
1	1	0	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	2
1	1	0	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	1
1	1	0	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		6	78	F#5	5	0
2	2	1	1	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	12
2	2	1	1	1.0	0	0	4/4	2	2	1/4	1/4	1		2	62	D4	4	16
2	2	1	1	1.0	0	0	4/4	1	2	1/4	1/4	1		3	69	A4	4	8
2	2	1	1	1.0	0	0	4/4	1	1	1/4	1/4	1		6	78	F#5	5	4
2	2	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	13
2	2	2	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		0	60	C4	4	17
2	2	2	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	9
2	2	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	5
2	2	3	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		5	59	B3	3	14
2	2	3	3	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		5	59	B3	3	18
2	2	3	3	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4	10
2	2	3	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		4	76	E5	5	6
2	2	4	4	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		3	57	A3	3	19
2	2	4	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	15
2	2	4	4	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	11
2	2	4	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		6	78	F#5	5	7
3	3	5	5	2.0	0	0	4/4	2	2	1/2	1/2	1		1	55	G3	3	29
3	3	5	5	2.0	0	0	4/4	2	1	1/2	1/2	1		2	62	D4	4	26
3	3	5	5	2.0	0	0	4/4	1	2	1/2	1/2	1		5	71	B4	4	23
3	3	5	5	2.0	0	0	4/4	1	1	1/2	1/2	1		1	79	G5	5	20
3	3	7	7	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		0	48	C3	3	30
3	3	7	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		0	60	C4	4	27
3	3	7	7	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4	24
3	3	7	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		4	76	E5	5	21
3	3	8	8	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		5	47	B2	2	31
3	3	8	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	28
3	3	8	8	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	25
3	3	8	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		4	76	E5	5	22
4	4	9	9	1.0	0	0	4/4	2	2	1/4	1/4	1		10	46	A#2	2	44
4	4	9	9	1.0	0	0	4/4	2	1	1/4	1/4	1		7	61	C#4	4	40
4	4	9	9	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	36
4	4	9	9	1.0	0	0	4/4	1	1	1/4	1/4	1		4	76	E5	5	32
4	4	10	10	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		5	47	B2	2	45
4	4	10	10	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	41
4	4	10	10	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	37
4	4	10	10	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	33
4	4	11	11	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		8	44	G#2	2	46
4	4	11	11	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		5	59	B3	3	42
4	4	11	11	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64	E4	4	38
4	4	11	11	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	34
4	4	12	12	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		3	45	A2	2	47
4	4	12	12	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	43
4	4	12	12	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	39
4	4	12	12	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	35
5	5	13	13	3.0	0	0	4/4	2	2	3/4	1/2	3/2		2	38	D2	2	54
5	5	13	13	3.0	0	0	4/4	2	1	3/4	1/2	3/2		6	66	F#4	4	52
5	5	13	13	3.0	0	0	4/4	1	2	3/4	1/2	3/2		3	69	A4	4	50
5	5	13	13	3.0	0	0	4/4	1	1	3/4	1/2	3/2		2	74	D5	5	48
5	5	16	16	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		3	57	A3	3	55
5	5	16	16	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	53
5	5	16	16	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	51
5	5	16	16	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		4	76	E5	5	49
6	6	17	17	1.0	0	0	4/4	2	2	1/4	1/4	1		8	56	G#3	3	69
6	6	17	17	0.5	0	0	4/4	2	1	1/8	1/8	1		5	59	B3	3	64
6	6	17	17	1.0	0	0	4/4	1	2	1/4	1/4	1		4	64	E4	4	60
6	6	17	17	1.0	0	0	4/4	1	1	1/4	1/4	1		4	76	E5	5	56
6	6	35/2	35/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		7	61	C#4	4	65
6	6	18	18	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	70
6	6	18	18	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	66
6	6	18	18	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		8	68	G#4	4	61
6	6	18	18	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		4	76	E5	5	57
