mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	1.0	0	1/2	3/4	2	2	1/4	1/4	1		1	43	G2	2	3
1	1	0	1.0	0	1/2	3/4	2	1	1/4	1/4	1		5	59	B3	3	2
1	1	0	1.0	0	1/2	3/4	1	2	1/4	1/4	1		2	62	D4	4	1
1	1	0	1.0	0	1/2	3/4	1	1	1/4	1/4	1		1	67	G4	4	0
2	2	1	1.0	0	0	3/4	2	2	1/4	1/4	1		1	55	G3	3	13
2	2	1	1.0	0	0	3/4	2	1	1/4	1/4	1		5	59	B3	3	9
2	2	1	1.0	0	0	3/4	1	2	1/4	1/4	1		2	62	D4	4	6
2	2	1	2.0	0	0	3/4	1	1	1/2	1/2	1		1	67	G4	4	4
2	2	2	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		4	52	E3	3	14
2	2	2	0.5	1/4	1/4	3/4	2	1	1/8	1/8	1		0	60	C4	4	10
2	2	2	1.0	1/4	1/4	3/4	1	2	1/4	1/4	1		4	64	E4	4	7
2	2	5/2	0.5	3/8	3/8	3/4	2	1	1/8	1/8	1		5	59	B3	3	11
2	2	3	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		6	54	F#3	3	15
2	2	3	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	A3	3	12
2	2	3	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		2	62	D4	4	8
2	2	3	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		2	74	D5	5	5
3	3	4	1.0	0	0	3/4	2	1	1/4	1/4	1		1	55	G3	3	21
3	3	4	1.0	0	0	3/4	2	2	1/4	1/4	1		1	55	G3	3	24
3	3	4	2.0	0	0	3/4	1	2	1/2	1/2	1		2	62	D4	4	19
3	3	4	1.5	0	0	3/4	1	1	3/8	1/4	3/2		5	71	B4	4	16
