mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	1.0	0	0	4/4	2	2	1/4	1/4	1.0		1	55	G3	3	12
1	1	0	1.0	0	0	4/4	2	1	1/4	1/4	1.0		5	59	B3	3	8
1	1	0	1.0	0	0	4/4	1	2	1/4	1/4	1.0		2	62	D4	4	4
1	1	0	1.0	0	0	4/4	1	1	1/4	1/4	1.0		1	67	G4	4	0
1	1	1	2.0	1/4	1/4	4/4	2	2	1/2	1/2	1.0		0	48	C3	3	13
1	1	1	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1.0		0	60	C4	4	9
1	1	1	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1.0		4	64	E4	4	5
1	1	1	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1.0		1	67	G4	4	1
1	1	2	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1.0		6	54	F#3	3	10
1	1	2	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1.0		2	62	D4	4	6
1	1	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1.0		3	69	A4	4	2
1	1	3	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1.0		5	47	B2	2	14
1	1	3	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1.0		1	55	G3	3	11
1	1	3	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1.0		2	62	D4	4	7
1	1	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1.0		1	67	G4	4	3
2	2	4	1.0	0	0	4/4	2	2	1/4	1/4	1.0		3	45	A2	2	28
2	2	4	1.0	0	0	4/4	2	1	1/4	1/4	1.0		0	60	C4	4	23
2	2	4	1.0	0	0	4/4	1	2	1/4	1/4	1.0		4	64	E4	4	20
2	2	4	0.5	0	0	4/4	1	1	1/8	1/8	1.0		3	69	A4	4	15
2	2	9/2	0.5	1/8	1/8	4/4	1	1	1/8	1/8	1.0		5	71	B4	4	16
2	2	5	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1.0		8	44	G#2	2	29
2	2	5	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1.0		0	60	C4	4	24
2	2	5	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1.0		-1	65	F4	4	21
2	2	5	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1.0		0	72	C5	5	17
2	2	11/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1.0		2	62	D4	4	25
2	2	6	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1.0		1	43	G2	2	30
2	2	6	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1.0		4	64	E4	4	26
2	2	6	2.0	1/2	1/2	4/4	1	2	1/2	1/2	1.0		1	67	G4	4	22
2	2	6	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1.0		0	72	C5	5	18
2	2	7	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1.0		2	62	D4	4	27
2	2	7	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1.0		5	71	B4	4	19
3	3	8	2.0	0	0	4/4	2	2	1/2	1/2	1.0		0	48	C3	3	42
3	3	8	2.0	0	0	4/4	2	1	1/2	1/2	1.0		4	64	E4	4	38
3	3	8	2.0	0	0	4/4	1	2	1/2	1/2	1.0		1	67	G4	4	34
3	3	8	2.0	0	0	4/4	1	1	1/2	1/2	1.0		0	72	C5	5	31
3	3	10	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1.0		1	55	G3	3	43
3	3	10	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1.0		1	67	G4	4	39
3	3	10	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1.0		5	71	B4	4	35
3	3	10	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1.0		2	74	D5	5	32
3	3	21/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1.0		-1	65	F4	4	40
3	3	21/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1.0		3	69	A4	4	36
3	3	11	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1.0		8	56	G#3	3	44
3	3	11	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1.0		4	64	E4	4	41
3	3	11	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1.0		5	71	B4	4	37
3	3	11	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1.0		4	76	E5	5	33
4	4	12	2.0	0	0	4/4	2	2	1/2	1/2	1.0		3	57	A3	3	55
4	4	12	2.0	0	0	4/4	2	1	1/2	1/2	1.0		4	64	E4	4	52
4	4	12	2.0	0	0	4/4	1	2	1/2	1/2	1.0		3	69	A4	4	49
4	4	12	2.0	0	0	4/4	1	1	1/2	1/2	1.0		0	72	C5	5	45
4	4	14	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1.0		4	52	E3	3	56
4	4	14	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1.0		4	64	E4	4	53
4	4	14	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1.0		1	67	G4	4	50
4	4	14	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1.0		5	71	B4	4	46
4	4	29/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1.0		0	72	C5	5	47
4	4	15	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1.0		5	47	B2	2	57
4	4	15	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1.0		2	62	D4	4	54
