mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	1.0	-1	3/4	1/4	1/2					firstMeasure	2
2	2	1	3.0	-1	3/4	3/4	0						3
3	3	4	3.0	-1	3/4	3/4	0						4
4	4	7	3.0	-1	3/4	3/4	0						5
5	5	10	3.0	-1	3/4	3/4	0						6
6	6	13	3.0	-1	3/4	3/4	0						7
7	7	16	3.0	-1	3/4	3/4	0						8
8	8	19	3.0	-1	3/4	3/4	0						9
9	9	22	3.0	-1	3/4	3/4	0				line		10
10	10	25	3.0	-1	3/4	3/4	0						11
11	11	28	3.0	-1	3/4	3/4	0						12
12	12	31	3.0	-1	3/4	3/4	0						13
13	13	34	3.0	-1	3/4	3/4	0						14
14	14	37	3.0	-1	3/4	3/4	0						15
15	15	40	3.0	-1	3/4	3/4	0						16
16	16	43	3.0	-1	3/4	3/4	0						17
17	17	46	3.0	-1	3/4	3/4	0				line		18
18	18	49	3.0	-1	3/4	3/4	0						19
19	19	52	3.0	-1	3/4	3/4	0						20
20	20	55	3.0	-1	3/4	3/4	0						21
21	21	58	3.0	-1	3/4	3/4	0						22
22	22	61	3.0	-1	3/4	3/4	0						23
23	23	64	3.0	-1	3/4	3/4	0				line		24
24	24	67	3.0	-1	3/4	3/4	0						25
25	25	70	3.0	-1	3/4	3/4	0						26
26	26	73	3.0	-1	3/4	3/4	0						27
27	27	76	3.0	-1	3/4	3/4	0						28
28	28	79	3.0	-1	3/4	3/4	0				line		29
29	29	82	3.0	-1	3/4	3/4	0						30
30	30	85	3.0	-1	3/4	3/4	0						31
31	31	88	3.0	-1	3/4	3/4	0						32
32	32	91	3.0	-1	3/4	3/4	0						33
33	33	94	3.0	-1	3/4	3/4	0				line	lastMeasure	-1
